HIP,Proxy,RAhms,DEdms,Vmag,VarFlag,r_Vmag,RAdeg,DEdeg,AstroRef,Plx,pmRA,pmDE,e_RAdeg,e_DEdeg,e_Plx,e_pmRA,e_pmDE,DE:RA,Plx:RA,Plx:DE,pmRA:RA,pmRA:DE,pmRA:Plx,pmDE:RA,pmDE:DE,pmDE:Plx,pmDE:pmRA,F1,F2,BTmag,e_BTmag,VTmag,e_VTmag,m_BTmag,B-V,e_B-V,r_B-V,V-I,e_V-I,r_V-I,CombMag,Hpmag,e_Hpmag,Hpscat,o_Hpmag,m_Hpmag,Hpmax,HPmin,Period,HvarType,moreVar,morePhoto,CCDM,n_CCDM,Nsys,Ncomp,MultFlag,Source,Qual,m_HIP,theta,rho,e_rho,dHp,e_dHp,Survey,Chart,Notes,HD,BD,CoD,CPD,(V-I)red,SpType,r_SpType
82514," ",16 51 52.24,-38 02 50.4,3.0,2,H,252.96766195,-38.04732717,*,3.97,-8.84,-21.6,1.27,0.94,1.2,1.07,0.87,0.18,-0.49,-0.2,-0.06,-0.33,-0.1,-0.33,0.03,0.17,-0.3,11,3.15,2.768,0.009,2.967,0.008," ",-0.2,0.16,G,-0.2,0.02,A," ",2.9246,0.0124,0.081,51," ",2.87,3.13,1.45,P,1,A,"          "," ",,1,V," "," ","  ",,,,,,S," "," ",151890,"          ",C-37 11033,P-37  6761,-0.2,B1.5IV + B,G
108085," ",21 53 55.65,-37 21 53.4,3.0,,G,328.48189202,-37.3648229," ",16.07,95.88,-12.1,0.65,0.45,0.77,0.76,0.47,0.13,-0.2,-0.17,-0.06,-0.12,0.08,-0.05,0.23,-0.16,0.07,0,0.78,2.896,0.003,2.994,0.002," ",-0.084,0.003,T,-0.1,0.02,A," ",2.9763,4.0E-4,0.004,87," ",2.97,2.99,," "," "," ","          "," ",,1,G," "," ","  ",,,,,,S," "," ",207971,"          ",C-37 14536,P-37  9119,-0.1,B8III,3
17358,H,03 42 55.48,+47 47 15.6,3.01,,G,55.7311754,47.7876533,A,6.18,23.83,-41.93,1.45,1.0,0.85,0.68,0.71,0.15,0.03,-0.22,-0.18,-0.1,0.21,-0.04,0.08,-0.14,0.04,1,0.46,2.877,0.002,2.997,0.002,*,-0.125,0.011,G,-0.07,0.03,C,*,2.9703,0.0012,0.006,77,*,2.96,2.98,,D," "," ",03429+4748,I,1,2,C," ",A,AC,221,0.33,0.024,3.14,0.08,S," "," ",22928,"B+47  876 ","          ","          ",-0.07,B5III SB,G
30122," ",06 20 18.79,-30 03 48.2,3.02,1,G,95.07827982,-30.06337656," ",9.7,8.0,3.81,0.4,0.43,0.58,0.54,0.51,0.04,0.03,-0.07,-0.11,-0.09,0.25,-0.06,-0.06,-0.07,-0.07,0,-0.76,2.803,0.002,2.988,0.002," ",-0.16,0.002,T,-0.2,0.02,A," ",2.9524,4.0E-4,0.004,126," ",2.94,2.96,,M," "," ",06203-3003,I,1,1," "," "," ","  ",,,,,,S," "," ",44402,"          ",C-30  3038,P-30  1217,-0.2,B2.5V,3
33977," ",07 03 01.47,-23 49 59.9,3.02,2,H,105.75613986,-23.83330131," ",1.27,-1.56,4.28,0.36,0.4,0.56,0.46,0.55,0.08,0.08,-0.18,-0.15,0.06,-0.02,0.07,-0.1,0.03,0.12,1,1.09,2.926,0.003,3.026,0.003," ",-0.077,0.035,G,-0.03,0.02,A," ",3.005,0.0022,0.026,162," ",2.97,3.05,24.44,P,1,A,"          "," ",,1," "," "," ","  ",,,,,,S," "," ",53138,"          ",C-23  4797,P-23  1747,-0.03,B3Ia,4
59316," ",12 10 07.53,-22 37 11.3,3.02,,H,182.53135773,-22.61979211," ",10.75,-71.52,10.55,0.63,0.43,0.71,0.68,0.47,-0.21,-0.14,0.11,0.22,-0.05,0.08,-0.07,0.11,0.06,-0.21,2,-0.12,4.758,0.003,3.161,0.002," ",1.326,0.033,G,1.23,0.02,A," ",3.1761,5.0E-4,0.004,98," ",3.17,3.18,," "," "," ","          "," ",,1," "," "," ","  ",,,,,,S," "," ",105707,"B-21 3487 ","          ",P-21  5225,1.23,K2III,4
23416," ",05 01 58.13,+43 49 23.9,3.03,2,H,75.49222507,43.82331397,+,1.6,0.18,-2.31,0.96,0.64,1.16,1.01,0.76,0.04,0.51,-0.29,0.22,0.1,-0.22,-0.2,0.68,-0.47,0.32,0,1.74,3.665,0.007,3.091,0.005," ",0.537,0.008,T,0.61,0.01,L," ",3.1457,0.0062,0.036,67," ",3.05,3.2,,P,1,C,05020+4350,I,1,1,O," "," ","  ",,,,,,S," ",D,31964,"B+43 1166 ","          ","          ",0.61,F0Ia,X
71075," ",14 32 04.76,+38 18 28.4,3.04,,G,218.01982421,38.30788348," ",38.29,-115.55,151.87,0.4,0.52,0.73,0.47,0.55,0.19,0.07,-0.29,-0.01,0.01,-0.21,-0.06,0.18,-0.31,0.15,0,0.74,3.29,0.002,3.062,0.002," ",0.191,0.006,G,0.17,0.03,C," ",3.098,5.0E-4,0.005,138," ",3.09,3.11,," "," "," ",14321+3818,I,1,1," "," "," ","  ",,,,,,S," ",P,127762,"B+38 2565 ","          ","          ",0.17,A7IIIvar,X
62322,H,12 46 16.87,-68 06 29.1,3.04,,G,191.57029013,-68.10809405,A,10.48,-40.4,-10.32,0.59,0.6,0.65,0.61,0.56,0.15,-0.08,0.11,-0.06,0.21,-0.06,0.16,0.03,0.09,0.14,8,1.8,2.863,0.01,3.052,0.012,*,-0.178,0.005,G,-0.19,0.02,A,*,2.9789,7.0E-4,0.005,112,*,2.97,2.99,,D," "," ",12463-6806,I,1,2,C," ",A,AB,35,1.206,0.002,0.49,0.01,S," "," ",110879,"          ","          ",P-67  2064,-0.19,B2V,X
95947,H,19 30 43.29,+27 57 34.9,3.05,,H,292.68035529,27.9596948,A,8.46,-7.09,-5.63,0.59,0.64,0.58,0.52,0.66,-0.32,-0.16,-0.11,0.11,-0.13,0.07,-0.13,0.06,-0.03,-0.27,1,-0.53,4.478,0.002,3.2,0.001,*,1.088,0.002,T,1.05,0.0,L,*,3.2177,4.0E-4,0.004,164,*,3.21,3.22,,D," "," ",19307+2758,I,2,2,C," ",A,AC,152,0.389,0.005,2.12,0.02,S," "," ",183912,"B+27 3410 ","          ","          ",1.07,K3II+...,X
100345," ",20 21 00.65,-14 46 53.0,3.05,,H,305.25269347,-14.78140119,+,9.48,48.42,14.0,1.34,1.47,0.95,1.8,1.49,0.65,-0.06,0.02,0.66,0.74,0.25,0.53,0.82,0.06,0.73,4,1.45,4.041,0.003,3.169,0.002," ",0.79,0.04,G,0.9,0.02,A," ",3.2104,5.0E-4,0.004,85," ",3.2,3.22,," "," "," ",20210-1447,I,2,1,O," "," ","  ",,,,,,S," "," ",193495,"B-15 5629 ","          ","          ",0.9,A5:n,4
