HIP,Proxy,RAhms,DEdms,Vmag,VarFlag,r_Vmag,RAdeg,DEdeg,AstroRef,Plx,pmRA,pmDE,e_RAdeg,e_DEdeg,e_Plx,e_pmRA,e_pmDE,DE:RA,Plx:RA,Plx:DE,pmRA:RA,pmRA:DE,pmRA:Plx,pmDE:RA,pmDE:DE,pmDE:Plx,pmDE:pmRA,F1,F2,BTmag,e_BTmag,VTmag,e_VTmag,m_BTmag,B-V,e_B-V,r_B-V,V-I,e_V-I,r_V-I,CombMag,Hpmag,e_Hpmag,Hpscat,o_Hpmag,m_Hpmag,Hpmax,HPmin,Period,HvarType,moreVar,morePhoto,CCDM,n_CCDM,Nsys,Ncomp,MultFlag,Source,Qual,m_HIP,theta,rho,e_rho,dHp,e_dHp,Survey,Chart,Notes,HD,BD,CoD,CPD,(V-I)red,SpType,r_SpType
32349," ",06 45 09.25,-16 42 47.3,-1.44,2,G,101.28854105,-16.71314306,+,379.21,-546.01,-1223.08,1.21,1.04,1.58,1.33,1.24,0.05,0.22,-0.3,-0.5,0.13,-0.31,0.12,-0.54,0.32,-0.05,0,,,,,," ",0.009,0.007,G,-0.02,0.0,A," ",-1.0876,0.0024,0.04,159," ",-1.17,-0.98,,U," "," ",06451-1643,I,1,1,O," "," ","  ",,,,,,S," ",X,48915,"B-16 1591 ","          ","          ",-0.02,A0m...,4
30438," ",06 23 57.09,-52 41 44.6,-0.62,2,H,95.98787763,-52.69571799," ",10.43,19.99,23.67,0.5,0.46,0.53,0.53,0.56,0.02,0.11,-0.14,-0.23,-0.07,0.15,-0.06,0.19,-0.25,-0.04,1,3.15,-0.417,0.019,-0.608,0.016," ",0.164,0.017,G,0.23,0.02,A," ",-0.5536,0.0066,0.039,87," ",-0.6,-0.48,,U," "," ","          "," ",,1," "," ",S,"  ",,,,,,S," "," ",45348,"          ","          ",P-52   914,0.23,F0Ib,X
69673,H,14 15 40.35,+19 11 14.2,-0.05,1,G,213.91811403,19.18726997,*,88.85,-1093.45,-1999.4,0.92,0.42,0.74,0.6,0.52,-0.52,0.16,-0.13,-0.07,0.05,-0.01,0.03,-0.12,-0.03,-0.31,7,2.01,1.629,0.01,0.286,0.009,*,1.239,0.006,G,1.22,0.02,A,*,0.1114,0.002,0.015,70,*,0.09,0.14,,U,2," ",14157+1911,H,1,2,C," ",A,AB,198,0.255,0.039,3.33,0.31,S," "," ",124897,"B+19 2777 ","          ","          ",1.22,K2IIIp,X
71683," ",14 39 40.90,-60 50 06.5,-0.01,,G,219.92041034,-60.83514707,A,742.12,-3678.19,481.84,1.42,1.08,1.4,1.51,1.24,0.29,-0.31,-0.16,0.15,0.05,-0.09,0.0,0.14,0.09,0.45,1,-3.09,,,,," ",0.71,0.04,G,0.69,0.02,A," ",0.1373,0.0472,0.063,105,A,0.06,0.26,,D," "," ",14396-6050,I,3,1,C,P,D,"  ",,,,,,S," ",D,128620,"          ","          ",P-60  5483,0.69,G2V,X
91262," ",18 36 56.19,+38 46 58.8,0.03,1,G,279.23410832,38.78299311," ",128.93,201.02,287.46,0.48,0.47,0.55,0.57,0.6,-0.02,-0.08,-0.12,0.3,0.02,-0.13,0.01,0.28,-0.05,-0.15,2,1.31,,,,," ",-0.001,0.005,G,-0.01,0.02,A," ",0.0868,0.0021,0.014,90," ",0.07,0.13,,U,2,C,18369+3847,I,1,1," "," ",S,"  ",,,,,,S," "," ",172167,"B+38 3238 ","          ","          ",-0.01,A0Vvar,X
24608," ",05 16 41.30,+45 59 56.5,0.08,1,G,79.17206517,45.99902927,+,77.29,75.52,-427.13,0.8,0.51,0.89,0.77,0.5,0.27,0.51,0.13,0.06,-0.01,0.01,-0.07,0.03,-0.12,0.16,2,3.79,,,,," ",0.795,0.019,G,0.83,0.01,R," ",0.2385,0.0023,0.011,52," ",0.22,0.25,,U,2," ",05168+4559,I,1,1,O," "," ","  ",,,,,,S," ",P,34029,"B+45 1077 ","          ","          ",0.83,M1: comp,G
24436," ",05 14 32.27,-08 12 05.9,0.18,1,G,78.63446353,-8.20163919," ",4.22,1.87,-0.56,0.65,0.48,0.81,0.74,0.53,-0.18,0.27,0.18,0.32,-0.23,-0.13,-0.24,0.27,-0.14,-0.3,0,2.48,0.312,0.012,0.283,0.01," ",-0.03,0.6,G,0.03,0.02,A," ",0.193,0.0015,0.014,64," ",0.17,0.22,2.07,P,1,A,05145-0812,I,1,1," "," ",S,"  ",,,,,,S," "," ",34085,"B-08 1063 ","          ","          ",0.03,B8Ia,X
37279," ",07 39 18.54,+05 13 39.0,0.4,,G,114.82724194,5.22750767,+,285.93,-716.57,-1034.58,0.82,0.5,0.88,0.88,0.38,0.03,0.21,-0.3,-0.19,-0.06,-0.22,-0.07,-0.55,0.14,0.09,0,1.94,,,,," ",0.432,0.015,G,0.49,0.02,A," ",0.4607,0.0017,0.007,20," ",0.45,0.52,," "," "," ",07393+0514,I,1,1,O," "," ","  ",,,,,,S," ",D,61421,"B+05 1739 ","          ","          ",0.49,F5IV-V,X
27989," ",05 55 10.29,+07 24 25.3,0.45,2,H,88.79287161,7.40703634," ",7.63,27.33,10.86,1.51,1.13,1.64,2.3,1.46,0.08,0.19,-0.26,-0.21,-0.27,0.11,-0.15,-0.5,0.21,0.28,0,,2.849,0.009,0.769,0.019," ",1.5,0.51,G,2.32,0.02,A," ",0.4997,0.0234,0.109,57," ",0.33,0.62,,U,2,C,05552+0724,I,1,1,X," ",S,"  ",,,,,,S," ",P,39801,"B+07 1055 ","          ","          ",2.32,M2Ib,X
7588," ",01 37 42.75,-57 14 12.0,0.45,2,G,24.42813204,-57.23666007," ",22.68,88.02,-40.08,0.48,0.47,0.57,0.62,0.54,-0.12,-0.1,-0.14,-0.2,0.16,-0.01,0.22,-0.05,-0.2,-0.2,1,-0.37,0.458,0.01,0.522,0.009," ",-0.158,0.007,G,-0.17,0.02,A," ",0.4233,0.0024,0.022,106," ",0.4,0.46,,U,2," ","          "," ",,1,G," "," ","  ",,,,,,S," ",P,10144,"          ","          ",P-57   334,-0.17,B3Vp,X
68702,H,14 03 49.44,-60 22 22.7,0.61,1,G,210.95601898,-60.3729784,A,6.21,-33.96,-25.06,0.43,0.44,0.56,0.51,0.45,-0.11,-0.16,0.14,-0.07,0.15,-0.07,0.21,-0.29,-0.08,0.57,6,1.36,0.435,0.014,0.609,0.013,*,-0.231,0.017,G,-0.25,0.02,A,*,0.5366,0.0014,0.009,86,*,0.52,0.56,,U,2," ",14038-6022,I,1,2,C," ",A,AB,234,0.871,0.012,3.37,0.07,S," "," ",122451,"          ","          ",P-59  5365,-0.25,B1III,X
97649," ",19 50 46.68,+08 52 02.6,0.76,1,G,297.6945086,8.86738491," ",194.44,536.82,385.54,0.6,0.53,0.94,0.73,0.68,0.2,-0.24,-0.33,0.27,-0.14,0.36,-0.04,0.41,0.05,0.04,0,0.36,1.248,0.012,0.955,0.01," ",0.221,0.01,G,0.27,0.02,A," ",0.8273,0.0011,0.006,41," ",0.82,0.87,7.94,P,1,A,19508+0852,I,1,1," "," "," ","  ",,,,,,S," ",P,187642,"B+08 4236 ","          ","          ",0.27,A7IV-V,X
60718,H,12 26 35.94,-63 05 56.6,0.77,,G,186.64975585,-63.09905586,A,10.17,-35.37,-14.73,0.55,0.68,0.67,0.58,0.66,0.18,-0.05,0.23,-0.11,-0.06,0.03,-0.11,-0.32,0.11,0.2,11,0.63,0.446,0.011,0.633,0.01,*,-0.243,0.012,G,-0.26,0.02,A,*,0.6739,8.0E-4,0.008,115,*,0.66,0.69,,D," "," ",12266-6306,I,1,2,C," ",A,AB,113,4.102,0.002,0.39,0.01,S," ",P,108248,"          ","          ",P-62  2745,-0.26,B0.5IV,X
21421," ",04 35 55.20,+16 30 35.1,0.87,1,G,68.98000195,16.50976164," ",50.09,62.78,-189.36,0.85,0.53,0.95,0.85,0.63,0.31,0.49,0.08,0.19,0.14,-0.26,0.03,0.46,-0.24,0.29,0,0.13,2.937,0.006,1.16,0.011," ",1.538,0.008,G,1.67,0.02,G," ",1.0024,0.0026,0.01,43," ",0.99,1.02,,M," "," ",04359+1631,I,1,1," "," "," ","  ",,,,,,S," "," ",29139,"B+16  629 ","          ","          ",1.67,K5III,X
65474," ",13 25 11.60,-11 09 40.5,0.98,1,G,201.2983523,-11.16124491," ",12.44,-42.5,-31.73,0.75,0.54,0.86,0.79,0.52,-0.39,-0.22,0.09,0.2,-0.02,0.18,-0.04,0.3,-0.04,-0.46,0,1.52,0.877,0.012,1.031,0.01," ",-0.235,0.008,G,-0.25,0.02,A," ",0.8891,0.0022,0.014,38," ",0.87,0.91,4.01,P,1,A,13252-1109,I,1,1," "," "," ","  ",,,,,,S," ",P,116658,"B-10 3672 ","          ","          ",-0.25,B1V,X
80763," ",16 29 24.47,-26 25 55.0,1.06,2,H,247.35194804,-26.43194608," ",5.4,-10.16,-23.21,1.52,1.08,1.68,2.0,1.34,-0.3,-0.1,-0.11,0.03,0.1,-0.1,0.07,0.29,-0.1,-0.21,0,,3.494,0.015,1.287,0.008," ",1.865,0.014,T,2.9,0.03,O," ",0.9757,0.0055,0.042,73," ",0.91,1.07,,U,2," ",16294-2626,I,1,1,X," ",S,"  ",,,,,,S," "," ",148478,"          ",C-26 11359,P-26  5648,4.31,M1Ib + B2.5V,G
37826," ",07 45 19.36,+28 01 34.7,1.16,1,G,116.33068263,28.02631031," ",96.74,-625.69,-45.95,0.75,0.45,0.87,1.02,0.53,-0.22,0.22,-0.11,0.12,-0.08,-0.35,-0.1,-0.11,-0.11,-0.01,0,-0.93,2.455,0.003,1.325,0.006," ",0.991,0.005,G,0.97,0.01,G," ",1.2947,6.0E-4,0.005,83," ",1.29,1.3,,M," "," ",07454+2802,I,1,1," "," ",S,"  ",,,,,,S," "," ",62509,"B+28 1463 ","          ","          ",0.97,K0IIIvar,X
113368," ",22 57 38.83,-29 37 18.6,1.17,,G,344.41177323,-29.62183701," ",130.08,329.22,-164.22,0.79,0.64,0.92,1.05,0.73,0.43,-0.16,-0.38,-0.39,-0.21,0.32,-0.06,-0.07,0.23,0.49,6,2.95,1.407,0.009,1.248,0.007," ",0.145,0.011,T,0.16,0.01,L," ",1.1808,7.0E-4,0.004,67," ",1.18,1.19,," "," "," ","          "," ",,1,G," "," ","  ",,,,,,S," "," ",216956,"          ",C-30 19370,P-30  6685,0.08,A3V,3
102098," ",20 41 25.91,+45 16 49.2,1.25,2,G,310.3579727,45.28033423," ",1.01,1.56,1.55,0.52,0.42,0.57,0.62,0.41,-0.1,-0.15,0.02,-0.21,-0.06,0.09,-0.07,-0.24,0.23,-0.16,4,0.46,1.471,0.007,1.343,0.007," ",0.092,0.007,G,0.16,0.03,C," ",1.2966,0.0021,0.016,110," ",1.27,1.34,,U,2," ",20415+4517,I,1,1," "," "," ","  ",,,,,,S," ",P,197345,"B+44 3541 ","          ","          ",0.16,A2Ia,X
62434," ",12 47 43.32,-59 41 19.4,1.25,1,G,191.93049537,-59.68873246," ",9.25,-48.24,-12.82,0.42,0.4,0.61,0.49,0.5,0.05,-0.3,0.11,-0.1,0.11,0.11,0.15,-0.04,0.1,0.02,1,0.21,1.102,0.009,1.281,0.006," ",-0.238,0.006,G,-0.27,0.02,A," ",1.1537,0.001,0.01,120," ",1.14,1.17,0.19,P,1,A,12478-5940,I,1,1,G," "," ","  ",,,,,,S," "," ",111123,"          ","          ",P-59  4451,-0.27,B0.5III,X
71681," ",14 39 39.39,-60 50 22.1,1.35,,G,219.91412833,-60.83947139,B,742.12,-3600.35,952.11,46.2,36.28,1.4,26.1,19.75,0.29,-0.07,-0.01,-0.03,-0.06,-0.04,-0.06,-0.01,-0.13,0.47,1,-3.09,,,,," ",0.9,0.02,G,0.88,0.02,A," ",1.2429,0.1154,,,B,,,,D," "," ",14396-6050,I,3,1,C,L,D,"  ",,,,,,S," ",D,128621,"          ","          ","          ",0.88,K1V,1
49669," ",10 08 22.46,+11 58 01.9,1.36,,G,152.09358075,11.96719513," ",42.09,-249.4,4.91,0.71,0.49,0.79,0.74,0.48,-0.28,0.26,-0.24,-0.12,0.03,-0.08,-0.03,-0.03,-0.16,-0.24,2,2.7,1.36,0.01,1.399,0.007," ",-0.087,0.015,G,-0.1,0.01,G," ",1.3232,7.0E-4,0.005,60," ",1.31,1.34,," "," "," ",10083+1159,I,1,1," "," "," ","  ",,,,,,S," "," ",87901,"B+12 2149 ","          ","          ",-0.1,B7V,X
33579," ",06 58 37.55,-28 58 19.5,1.5,1,G,104.65644451,-28.97208931," ",7.57,2.63,2.29,0.37,0.42,0.57,0.48,0.57,0.05,0.0,-0.15,0.06,0.0,-0.07,-0.01,0.13,0.04,0.08,0,-0.01,1.35,0.006,1.5,0.005," ",-0.211,0.006,G,-0.2,0.02,A," ",1.416,5.0E-4,0.005,123," ",1.41,1.42,,M," "," ",06586-2858,I,1,1," "," "," ","  ",,,,,,S," "," ",52089,"          ",C-28  3666,P-28  1586,-0.2,B2II,3
36850,H,07 34 36.00,+31 53 19.1,1.58,,G,113.65001898,31.88863645,A,63.27,-206.33,-148.18,1.2,1.03,1.23,1.6,1.47,-0.07,0.23,0.26,-0.04,0.28,0.24,0.1,-0.44,-0.35,-0.36,40,2.17,,,,," ",0.034,0.002,G,0.05,0.0,R,*,1.5811,9.0E-4,0.005,61,*,1.57,1.59,,D," "," ",07346+3153,I,1,2,C," ",C,AB,76,3.124,0.002,1.04,0.01,S," "," ",60179,"B+32 1581 ","          ","          ",0.05,A2Vm,S
61084," ",12 31 09.93,-57 06 45.2,1.59,2,H,187.79137202,-57.11256922," ",37.09,27.94,-264.33,0.39,0.42,0.67,0.54,0.47,0.23,-0.17,0.19,0.09,0.0,0.06,-0.04,-0.01,0.17,0.3,0,-0.18,3.653,0.004,1.832,0.004," ",1.6,0.008,G,2.37,0.02,A," ",1.6299,0.0027,0.029,150," ",1.59,1.68,,U,2," ",12312-5706,I,1,1," "," ",S,"  ",,,,,,S," "," ",108903,"          ",C-56  4504,P-56  5272,2.37,M4III,X
85927," ",17 33 36.53,-37 06 13.5,1.62,1,G,263.40219373,-37.10374835," ",4.64,-8.9,-29.95,0.74,0.52,0.9,0.92,0.58,0.12,-0.42,-0.29,0.2,0.11,-0.41,-0.04,0.18,0.17,-0.29,3,1.62,1.446,0.01,1.607,0.008," ",-0.231,0.008,G,-0.24,0.02,A," ",1.5244,0.0029,0.016,44," ",1.5,1.56,0.21,P,1,A,17336-3706,I,1,1," "," "," ","  ",,,,,,S," ",P,158926,"          ",C-37 11673,P-37  7265,-0.24,B1.5IV+...,3
25336," ",05 25 07.87,+06 20 59.0,1.64,1,G,81.28278416,6.34973451," ",13.42,-8.75,-13.28,0.94,0.59,0.98,0.99,0.62,0.24,0.43,-0.16,0.01,0.1,-0.13,0.02,0.57,-0.16,0.35,0,0.47,1.468,0.012,1.629,0.008," ",-0.224,0.008,G,-0.22,0.02,A," ",1.5493,8.0E-4,0.006,47," ",1.54,1.57,,M," "," ",05252+0620,I,1,1," "," "," ","  ",,,,,,S," "," ",35468,"B+06  919 ","          ","          ",-0.22,B2III,X
25428," ",05 26 17.50,+28 36 28.3,1.65,,G,81.57290804,28.60787346," ",24.89,23.28,-174.22,0.8,0.52,0.88,1.03,0.57,0.1,0.23,-0.15,0.14,0.2,0.24,0.18,0.33,0.01,0.3,3,0.41,1.605,0.01,1.67,0.008," ",-0.13,0.002,G,-0.09,0.03,C," ",1.6151,7.0E-4,0.004,42," ",1.61,1.62,," "," "," ",05263+2836,I,1,1," "," "," ","  ",,,,,,S," "," ",35497,"B+28  795 ","          ","          ",-0.09,B7III,X
45238," ",09 13 12.24,-69 43 02.9,1.67,1,G,138.30100329,-69.71747245," ",29.34,-157.66,108.91,0.47,0.42,0.47,0.56,0.42,0.26,0.03,0.14,-0.2,-0.16,0.1,-0.16,-0.23,0.18,0.32,1,0.4,1.746,0.006,1.675,0.006," ",0.07,0.008,T,0.02,0.02,A," ",1.6625,4.0E-4,0.004,106," ",1.65,1.67,,M," "," ","          "," ",,1," "," "," ","  ",,,,,,S," "," ",80007,"          ","          ",P-69  1023,0.02,A2IV,X
26311," ",05 36 12.81,-01 12 06.9,1.69,1,G,84.05338572,-1.20191725," ",2.43,1.49,-1.06,0.72,0.41,0.91,0.8,0.44,0.05,0.46,-0.08,0.35,-0.28,0.15,-0.34,0.42,-0.4,0.05,0,-0.45,1.553,0.007,1.692,0.005," ",-0.184,0.008,G,-0.16,0.02,A," ",1.6235,0.0017,0.013,96," ",1.6,1.65,,U,2," ",05363-0112,I,1,1," "," "," ","  ",,,,,,S," "," ",37128,"B-01  969 ","          ","          ",-0.16,B0Ia,X
109268," ",22 08 13.88,-46 57 38.2,1.73,1,G,332.05781838,-46.96061593," ",32.16,127.6,-147.91,0.49,0.5,0.82,0.44,0.5,0.37,-0.4,-0.23,-0.1,0.09,0.17,0.22,0.34,-0.24,0.25,1,-0.23,1.675,0.004,1.757,0.004," ",-0.07,0.005,T,-0.05,0.01,L," ",1.6983,4.0E-4,0.005,133," ",1.69,1.71,,M," "," ",22082-4658,I,1,1," "," ",S,"  ",,,,,,S," "," ",209952,"          ",C-47 14063,P-47  9830,-0.12,B7IV,X
26727,H,05 40 45.52,-01 56 33.3,1.74,,H,85.18968672,-1.94257841,A,3.99,3.99,2.54,0.7,0.41,0.79,0.74,0.4,0.15,0.28,-0.15,-0.2,-0.37,0.17,-0.42,0.05,-0.35,-0.02,9,0.87,1.566,0.005,1.697,0.004,*,-0.199,0.022,G,-0.18,0.02,A,*,1.6812,0.0011,0.009,88,*,1.67,1.69,,D," "," ",05408-0156,I,1,2,C," ",A,AB,164,2.419,0.006,2.13,0.03,S," ",P,37742,"B-02 1338 ","          ","          ",-0.18,O9.5Ib SB,G
39953," ",08 09 31.96,-47 20 11.8,1.75,1,H,122.38314727,-47.33661177," ",3.88,-5.93,9.9,0.5,0.41,0.53,0.54,0.43,0.15,-0.1,-0.03,0.1,-0.17,0.15,-0.19,-0.17,0.26,0.17,0,-2.12,1.627,0.007,1.793,0.005," ",-0.145,0.008,T,-0.14,0.02,A," ",1.7034,0.0016,0.012,83," ",1.68,1.72,,U,2," ",08095-4721,I,1,1," "," "," ","  ",,,,,,S," "," ",68273,"          ",C-46  3847,P-46  2202,-0.14,WC8 + O9I,G
62956," ",12 54 01.63,+55 57 35.4,1.76,1,G,193.5068041,55.95984301," ",40.3,111.74,-8.99,0.43,0.47,0.62,0.45,0.49,0.04,0.08,-0.34,-0.14,0.05,-0.2,-0.01,0.13,-0.07,-0.01,3,-0.06,1.813,0.006,1.764,0.005," ",-0.022,0.003,G,-0.04,0.03,C," ",1.7545,7.0E-4,0.008,113," ",1.74,1.77,5.08,P,1,A,"          "," ",,1," "," "," ","  ",,,,,,S," "," ",112185,"B+56 1627 ","          ","          ",-0.04,A0p,G
15863," ",03 24 19.35,+49 51 40.5,1.79,1,G,51.08061889,49.86124281," ",5.51,24.11,-26.01,0.54,0.49,0.66,0.46,0.57,0.29,0.41,-0.12,-0.01,0.12,0.08,0.02,0.3,-0.12,0.5,0,-0.18,2.418,0.002,1.866,0.004," ",0.481,0.004,G,0.63,0.04,G," ",1.8972,8.0E-4,0.005,76," ",1.89,1.91,,M," "," ",03243+4951,I,1,1," "," "," ","  ",,,,,,S," ",P,20902,"B+49  917 ","          ","          ",0.63,F5Ib,X
90185," ",18 24 10.35,-34 23 03.5,1.79,,H,276.04310967,-34.3843146," ",22.55,-39.61,-124.05,0.9,0.6,1.02,0.92,0.59,-0.09,-0.44,0.28,0.04,-0.13,-0.17,0.01,-0.42,-0.3,-0.13,6,0.56,1.833,0.007,1.81,0.007," ",-0.031,0.004,G,0.01,0.02,A," ",1.7986,8.0E-4,0.004,43," ",1.79,1.81,," "," "," ",18242-3423,I,1,1," "," "," ","  ",,,,,,S," "," ",169022,"          ",C-34 12784,"          ",0.01,B9.5III,3
54061,H,11 03 43.84,+61 45 04.0,1.81,,H,165.93265365,61.75111888,A,26.38,-136.46,-35.25,0.4,0.46,0.53,0.43,0.45,0.19,0.08,-0.17,-0.13,0.0,-0.08,-0.02,-0.3,0.0,0.14,4,2.15,3.185,0.002,1.934,0.003,*,1.061,0.003,T,1.03,0.0,L,*,1.9519,4.0E-4,0.005,158,*,1.94,1.96,,D," "," ",11037+6145,I,1,2,C," ",A,AB,270,0.672,0.006,2.92,0.03,S," "," ",95689,"B+62 1161 ","          ","          ",1.04,F7V comp,G
34444," ",07 08 23.49,-26 23 35.5,1.83,1,G,107.09785853,-26.39320776," ",1.82,-2.75,3.33,0.33,0.37,0.56,0.4,0.47,0.17,0.09,-0.09,0.17,-0.05,0.11,-0.02,0.02,0.16,0.25,0,-0.16,2.704,0.002,1.913,0.003," ",0.671,0.019,G,0.67,0.02,A," ",1.9628,6.0E-4,0.006,160," ",1.95,1.97,,M," "," ","          "," ",,1," "," "," ","  ",,,,,,S," "," ",54605,"          ",C-26  3916,P-26  1793,0.67,F8Ia,3
67301," ",13 47 32.55,+49 18 47.9,1.85,1,G,206.8856088,49.31330288," ",32.39,-121.23,-15.56,0.45,0.59,0.74,0.5,0.57,0.24,-0.2,-0.53,0.0,0.03,-0.15,-0.1,-0.13,0.12,-0.01,0,1.22,1.727,0.006,1.842,0.006," ",-0.099,0.007,T,-0.08,0.01,L," ",1.7994,8.0E-4,0.007,97," ",1.79,1.81,,M," "," ","          "," ",,1," "," "," ","  ",,,,,,S," "," ",120315,"B+50 2027 ","          ","          ",-0.23,B3V SB,G
41037,H,08 22 30.86,-59 30 34.3,1.86,2,G,125.62860299,-59.50953829,A,5.16,-25.34,22.72,0.69,0.61,0.49,0.53,0.45,-0.08,-0.04,-0.06,0.12,-0.17,0.02,-0.2,-0.07,0.15,-0.18,2,1.95,3.496,0.003,2.08,0.003,*,1.196,0.003,T,1.16,0.0,L,*,1.9996,0.0033,0.021,79,*,1.96,2.04,,U,2," ",08225-5931,H,1,2,C," ",A,AB,132,0.463,0.005,1.96,0.02,S," ",P,71129,"          ","          ",P-59  1032,1.58,K3III+B2V,G
86228,H,17 37 19.13,-42 59 52.2,1.86,,G,264.32969072,-42.99782155,A,11.99,6.06,-0.95,0.78,0.68,0.84,1.03,0.78,-0.05,-0.14,-0.15,0.2,-0.18,-0.1,-0.14,0.35,-0.13,0.19,13,2.12,2.374,0.003,1.904,0.006,A,0.406,0.007,G,0.48,0.02,A,*,1.9269,7.0E-4,0.006,55,*,1.92,1.94,,D," "," ",17373-4300,M,1,2,C," ",B,AB,315,6.465,0.025,3.39,0.18,S," "," ",159532,"          ",C-42 12312,P-42  7856,0.48,F1II,X
28360," ",05 59 31.77,+44 56 50.8,1.9,2,G,89.88237261,44.94743492,+,39.72,-56.41,-0.88,0.69,0.41,0.78,0.7,0.37,0.07,0.37,-0.14,0.34,0.35,0.03,0.36,-0.04,0.07,0.23,0,-0.54,1.989,0.005,1.904,0.005," ",0.077,0.006,T,0.05,0.03,C," ",1.9038,6.0E-4,0.014,125," ",1.9,1.97,,P,1,A,05596+4457,I,1,1,O," "," ","  ",,,,,,S," "," ",40183,"B+44 1328 ","          ","          ",0.05,A2V,X
82273," ",16 48 39.87,-69 01 39.5,1.91,1,G,252.16610742,-69.02763503," ",7.85,17.85,-32.92,0.34,0.46,0.63,0.46,0.6,-0.02,-0.11,-0.24,0.03,0.03,-0.02,-0.01,-0.18,0.25,-0.07,0,0.6,3.816,0.002,2.081,0.002," ",1.447,0.002,T,1.45,0.0,L," ",2.0711,6.0E-4,0.005,129," ",2.06,2.08,,M," "," ","          "," ",,1," "," "," ","  ",,,,,,S," "," ",150798,"          ","          ",P-68  2822,1.33,K2IIb-IIIa,G
31681," ",06 37 42.70,+16 23 57.9,1.93,,G,99.42792641,16.39941482," ",31.12,-2.04,-66.92,2.42,1.8,2.33,3.77,2.6,0.3,0.27,-0.07,-0.43,-0.42,0.04,-0.35,-0.6,-0.07,0.66,6,,,,2.024,0.009," ",0.001,0.005,G,0.04,0.0,G," ",1.929,8.0E-4,0.004,49," ",1.92,1.94,," "," "," ",06377+1624,I,1,1,X," "," ","  ",,,,,,S," ",D,47105,"B+16 1223 ","          ","          ",0.04,A0IV,X
42913,H,08 44 42.20,-54 42 30.8,1.93,,H,131.17582214,-54.70856797,A,40.9,28.78,-104.14,0.4,0.42,0.38,0.43,0.42,0.07,-0.06,-0.02,-0.18,-0.12,0.12,-0.12,-0.18,0.02,-0.02,3,1.25,2.05,0.002,1.949,0.003,*,0.043,0.006,G,0.05,0.02,A,*,1.9511,3.0E-4,0.003,104,*,1.95,1.96,,D," "," ",08448-5442,I,1,2,C," ",A,AB,5,0.736,0.014,3.58,0.07,S," "," ",74956,"          ","          ",P-54  1788,0.05,A1V,X
100751," ",20 25 38.85,-56 44 05.6,1.94,1,G,306.41187347,-56.73488071," ",17.8,7.71,-86.15,0.51,0.46,0.7,0.58,0.45,0.11,-0.16,-0.11,-0.37,-0.04,-0.04,-0.07,-0.45,0.09,-0.3,3,0.35,1.762,0.007,1.898,0.006," ",-0.118,0.008,T,-0.1,0.01,L," ",1.8583,6.0E-4,0.006,109," ",1.85,1.87,,M," "," ",20257-5644,I,1,1," "," "," ","  ",,,,,,S," "," ",193924,"          ","          ",P-57  9674,-0.2,B2IV,X
11767," ",02 31 47.08,+89 15 50.9,1.97,1,H,37.94614689,89.26413805," ",7.56,44.22,-11.74,0.39,0.45,0.48,0.47,0.55,-0.16,0.05,0.27,-0.01,0.08,0.05,0.04,-0.12,-0.09,-0.36,1,1.22,2.756,0.003,2.067,0.003," ",0.636,0.003,T,0.7,0.0,L," ",2.1077,0.0021,0.014,102," ",2.09,2.13,3.97,P,1,A,02319+8915,I,1,1," "," "," ","  ",,,,,,S," ",P,8890,"B+88    8 ","          ","          ",0.68,F7:Ib-IIv SB,G
30324," ",06 22 41.99,-17 57 21.3,1.98,1,G,95.6749475,-17.95591658," ",6.53,-3.45,-0.47,0.5,0.46,0.66,0.6,0.57,0.09,0.15,-0.1,-0.14,-0.15,0.02,-0.15,-0.23,0.11,-0.11,0,1.28,1.747,0.006,1.933,0.005," ",-0.24,0.006,G,-0.24,0.02,A," ",1.8911,0.0014,0.01,84," ",1.88,1.91,0.25,P,1,A,06227-1757,I,1,1," "," "," ","  ",,,,,,S," "," ",44743,"B-17 1467 ","          ","          ",-0.24,B1II/III,4
46390," ",09 27 35.25,-08 39 31.3,1.99,1,H,141.8968826,-8.65868335," ",18.4,-14.49,33.25,0.69,0.52,0.78,0.89,0.63,-0.24,0.09,0.11,-0.1,0.13,0.07,0.14,0.09,-0.12,-0.44,2,0.2,3.904,0.003,2.161,0.004," ",1.44,0.0,G,1.39,0.02,A," ",2.1351,6.0E-4,0.007,67," ",2.13,2.15,,M," "," ",09277-0841,I,1,1," "," "," ","  ",,,,,,S," "," ",81797,"B-08 2680 ","          ","          ",1.39,K3III,X
9884," ",02 07 10.29,+23 27 46.0,2.01,,G,31.79285757,23.46277743," ",49.48,190.73,-145.77,0.77,0.58,0.99,1.01,0.77,0.2,0.26,-0.25,-0.01,0.0,0.02,0.1,-0.35,0.29,0.33,0,0.85,3.524,0.003,2.152,0.004," ",1.151,0.006,G,1.13,0.0,G," ",2.1726,7.0E-4,0.004,58," ",2.17,2.19,," "," "," ","          "," ",,1," "," "," ","  ",,,,,,S," "," ",12929,"B+22  306 ","          ","          ",1.13,K2III,X
